transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
c10006_g1_i2|m.1,hamb1,_ , 2, -, -, -,  N,-,170,-,-
c10012_g1_i1_m.1581|m.8344,hamb2,_ , 2, -, -, -,  N,-,123,-,-
c10016_g1_i1_m.1582|m.8347,hamb3,_ , 2, -, -, -,  N,-,172,-,-
c10019_g1_i2_m.1583|m.8351,hamb4,_ , 3, -, -, -,  N,-,280,-,-
c10030_g1_i1_m.1585|m.8362,hamb5,M , 4, -, -, -,  N,-,103,-,-
c10040_g1_i1_m.1586|m.8370,hamb6,_ , 3, -, -, -,  N,-,114,-,-
c10044_g1_i1_m.1587|m.8376,hamb7,_ , 3, -, -, -,  N,-,162,-,-
c10061_g1_i1_m.1590|m.8384,hamb8,M , 4, -, -, -,  N,-,364,-,-
c10062_g1_i1_m.1591|m.8391,hamb9,_ , 1, -, -, -,  N,-,267,-,-
c10075_g1_i1_m.1592|m.8397,hamb10,_ , 2, -, -, -,  N,-,135,-,-
c10077_g1_i1_m.1593|m.8402,hamb11,_ , 5, -, -, -,  N,-,132,-,-
c10084_g1_i1_m.1594|m.8409,hamb12,_ , 1, -, -, -,  N,-,223,-,-
c10087_g1_i1_m.1595|m.8413,hamb13,S , 1, -, -, -,  N,-,214,-,-
c10106_g1_i1_m.1600|m.8434,hamb14,M , 4, -, -, -,  N,-,140,-,-
c10112_g1_i1_m.1602|m.8445,hamb15,_ , 1, -, -, -,  N,-,127,-,-
c10120_g1_i1_m.1603|m.8447,hamb16,_ , 1, -, -, -,  N,-,313,-,-
c10154_g1_i1_m.1607|m.8466,hamb17,_ , 2, -, -, -,  N,-,218,-,-
c1015_g1_i1_m.183|m.9454,hamb18,_ , 2, -, -, -,  N,-,464,-,-
c10160_g1_i1_m.1610|m.8478,hamb19,_ , 2, -, -, -,  N,-,122,-,-
c1017_g1_i1_m.184|m.9499,hamb20,S , 2, -, -, -,  N,-,161,-,-
c10186_g1_i1_m.1614|m.8497,hamb21,_ , 2, -, -, -,  N,-,316,-,-
c10194_g1_i1_m.1616|m.8506,hamb22,_ , 2, -, -, -,  N,-,169,-,-
c10196_g1_i1_m.1617|m.8509,hamb23,_ , 2, -, -, -,  N,-,292,-,-
c10215_g1_i1_m.1620|m.8527,hamb24,_ , 2, -, -, -,  N,-,188,-,-
c10228_g1_i1_m.1621|m.8531,hamb25,_ , 2, -, -, -,  N,-,385,-,-
c10237_g1_i1_m.1624|m.8540,hamb26,S , 1, -, -, -,  N,-,128,-,-
c10247_g1_i1_m.1628|m.8559,hamb27,_ , 2, -, -, -,  N,-,104,-,-
c10257_g1_i1_m.1629|m.8564,hamb28,S , 1, -, -, -,  N,-,106,-,-
c10275_g1_i1_m.1630|m.8567,hamb29,_ , 1, -, -, -,  N,-,123,-,-
c10292_g1_i1_m.1632|m.8577,hamb30,M , 2, -, -, -,  Y,-,429,-,-
c10295_g1_i1_m.1633|m.8581,hamb31,_ , 2, -, -, -,  N,-,213,-,-
c1029_g1_i1_m.187|m.9617,hamb32,_ , 2, -, -, -,  N,-,105,-,-
c10311_g1_i1|m.2,hamb33,_ , 2, -, -, -,  N,-,360,-,-
c10318_g1_i1|m.3,hamb34,_ , 2, -, -, -,  N,-,135,-,-
c10326_g1_i1_m.1637|m.8603,hamb35,_ , 1, -, -, -,  N,-,256,-,-
