transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100|m.101,ccan1,_ , 2, -, -, -,  N,-,477,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100|m.102,ccan2,_ , 1, -, -, -,  N,-,173,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10000|m.9873,ccan3,S , 2, -, -, -,  N,-,426,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100008|m.57315,ccan4,_ , 4, -, -, -,  N,-,153,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10001|m.9874,ccan5,_ , 1, -, -, -,  N,-,680,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100013|m.57317,ccan6,_ , 3, -, -, -,  N,-,107,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100023|m.57322,ccan7,_ , 2, -, -, -,  N,-,141,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100028|m.57324,ccan8,_ , 5, -, -, -,  N,-,206,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100038|m.57331,ccan9,_ , 2, -, -, -,  N,-,101,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10004|m.9875,ccan10,_ , 2, -, -, -,  N,-,131,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100057|m.57332,ccan11,_ , 2, -, -, -,  N,-,112,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100059|m.57335,ccan12,_ , 1, -, -, -,  N,-,119,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10006|m.9877,ccan13,_ , 2, -, -, -,  N,-,134,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100068|m.57337,ccan14,S , 1, -, -, -,  N,-,237,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100072|m.57338,ccan15,_ , 2, -, -, -,  N,-,116,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100074|m.57339,ccan16,_ , 2, -, -, -,  N,-,112,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100076|m.57341,ccan17,_ , 1, -, -, -,  N,-,124,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100085|m.57343,ccan18,S , 2, -, -, -,  N,-,108,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100090|m.57348,ccan19,_ , 2, -, -, -,  N,-,134,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100091|m.57349,ccan20,_ , 2, -, -, -,  N,-,196,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10010|m.9879,ccan21,_ , 4, -, -, -,  N,-,202,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10011|m.9880,ccan22,_ , 2, -, -, -,  N,-,505,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10011|m.9881,ccan23,_ , 2, -, -, -,  N,-,364,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10011|m.9888,ccan24,_ , 1, -, -, -,  N,-,136,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10011|m.9882,ccan25,M , 5, -, -, -,  N,-,321,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100114|m.57353,ccan26,S , 1, -, -, -,  N,-,116,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100138|m.57364,ccan27,S , 1, -, -, -,  N,-,135,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10014|m.9896,ccan28,_ , 1, -, -, -,  N,-,126,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100145|m.57368,ccan29,S , 1, -, -, -,  N,-,134,-,-
