transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
jgi|Triad1|1002|gw1.7.48.1|m.5886 jgi|Triad1|1002|gw1.7.48.1|g.5886  ,tadh1,S,4,-,-,-,N,-,590,-,-
jgi|Triad1|10055|gw1.13.120.1|m.11056 jgi|Triad1|10055|gw1.13.120.1|g.11056  ,tadh2,_,2,-,-,-,N,-,1027,-,-
jgi|Triad1|1010|gw1.7.49.1|m.5868 jgi|Triad1|1010|gw1.7.49.1|g.5868  ,tadh3,_,2,hsap2235,mmus1308,scer697,Y,PRODH,537,Prodh,PUT1
jgi|Triad1|10137|gw1.9.286.1|m.4986 jgi|Triad1|10137|gw1.9.286.1|g.4986  ,tadh4,_,5,hsap849,-,-,Y,ABCA13,1624,-,-
jgi|Triad1|10167|gw1.7.387.1|m.5957 jgi|Triad1|10167|gw1.7.387.1|g.5957  ,tadh5,_,2,-,-,-,N,-,1332,-,-
jgi|Triad1|10225|gw1.3.748.1|m.1056 jgi|Triad1|10225|gw1.3.748.1|g.1056  ,tadh6,_,3,-,-,-,N,-,1266,-,-
jgi|Triad1|1023|gw1.1.102.1|m.7101 jgi|Triad1|1023|gw1.1.102.1|g.7101  ,tadh7,S,4,-,-,-,N,-,605,-,-
jgi|Triad1|1026|gw1.21.12.1|m.11549 jgi|Triad1|1026|gw1.21.12.1|g.11549  ,tadh8,M,5,-,-,-,N,-,657,-,-
jgi|Triad1|10277|gw1.5.715.1|m.3250 jgi|Triad1|10277|gw1.5.715.1|g.3250  ,tadh9,_,3,-,-,-,N,-,812,-,-
jgi|Triad1|10294|gw1.2.863.1|m.8473 jgi|Triad1|10294|gw1.2.863.1|g.8473  ,tadh10,_,5,-,-,-,N,-,1193,-,-
jgi|Triad1|10380|gw1.24.115.1|m.10175 jgi|Triad1|10380|gw1.24.115.1|g.10175  ,tadh11,_,2,-,-,-,N,-,1138,-,-
jgi|Triad1|10459|gw1.2.885.1|m.8711 jgi|Triad1|10459|gw1.2.885.1|g.8711  ,tadh12,_,4,-,-,-,N,-,737,-,-
jgi|Triad1|10520|gw1.1.1187.1|m.6947 jgi|Triad1|10520|gw1.1.1187.1|g.6947  ,tadh13,_,5,-,-,-,N,-,354,-,-
jgi|Triad1|10625|gw1.1.1214.1|m.7747 jgi|Triad1|10625|gw1.1.1214.1|g.7747  ,tadh14,_,2,-,-,-,N,-,784,-,-
jgi|Triad1|1068|gw1.1.109.1|m.7097 jgi|Triad1|1068|gw1.1.109.1|g.7097  ,tadh15,S,1,-,-,-,N,-,619,-,-
jgi|Triad1|10696|gw1.5.752.1|m.3331 jgi|Triad1|10696|gw1.5.752.1|g.3331  ,tadh16,M,5,-,-,-,N,-,725,-,-
jgi|Triad1|10718|gw1.6.615.1|m.4747 jgi|Triad1|10718|gw1.6.615.1|g.4747  ,tadh17,_,3,-,-,-,N,-,727,-,-
jgi|Triad1|1077|gw1.1.110.1|m.7102 jgi|Triad1|1077|gw1.1.110.1|g.7102  ,tadh18,S,2,-,-,-,N,-,591,-,-
