transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
sctid100000,scil1,_ , 3, -, -, -,  N,-,240,-,-
sctid100003,scil2,_ , 5, -, -, -,  N,-,113,-,-
sctid100004,scil3,_ , 3, -, -, -,  N,-,240,-,-
sctid100005,scil4,_ , 4, -, -, -,  N,-,183,-,-
sctid100007,scil5,_ , 1, -, -, -,  N,-,120,-,-
sctid100008,scil6,M , 4, -, -, -,  N,-,118,-,-
sctid100009,scil7,_ , 3, -, -, -,  N,-,149,-,-
sctid100010,scil8,_ , 2, -, -, -,  N,-,482,-,-
sctid100011,scil9,_ , 4, -, -, -,  N,-,275,-,-
sctid100015,scil10,_ , 2, -, -, -,  N,-,292,-,-
sctid100017,scil11,_ , 2, -, -, -,  N,-,291,-,-
sctid100018,scil12,S , 1, -, -, -,  N,-,142,-,-
sctid100019,scil13,_ , 4, -, -, -,  N,-,183,-,-
sctid100020,scil14,_ , 1, -, -, -,  N,-,189,-,-
sctid100022,scil15,S , 1, -, -, -,  N,-,248,-,-
sctid100023,scil16,S , 2, -, -, -,  N,-,121,-,-
sctid100024,scil17,M , 4, -, -, -,  N,-,167,-,-
sctid100026,scil18,S , 4, -, -, -,  N,-,291,-,-
sctid100028,scil19,_ , 4, -, -, -,  N,-,137,-,-
sctid100029,scil20,_ , 2, -, -, -,  N,-,217,-,-
sctid100029,scil21,_ , 1, -, -, -,  N,-,291,-,-
sctid100030,scil22,_ , 1, -, -, -,  N,-,218,-,-
sctid100033,scil23,_ , 3, -, -, -,  N,-,103,-,-
sctid100034,scil24,_ , 1, -, -, -,  N,-,221,-,-
sctid100035,scil25,M , 5, -, -, -,  N,-,104,-,-
sctid100037,scil26,S , 2, -, -, -,  N,-,255,-,-
sctid100038,scil27,S , 1, -, -, -,  N,-,518,-,-
sctid100039,scil28,_ , 1, -, -, -,  N,-,228,-,-
sctid10003,scil29,M , 3, -, -, -,  Y,-,1485,-,-
sctid100040,scil30,_ , 1, -, -, -,  N,-,291,-,-
sctid100043,scil31,_ , 2, -, -, -,  N,-,291,-,-
sctid100046,scil32,_ , 5, -, -, -,  N,-,156,-,-
sctid100048,scil33,_ , 2, -, -, -,  N,-,194,-,-
sctid100051,scil34,_ , 5, -, -, -,  N,-,176,-,-
sctid100053,scil35,M , 2, -, -, -,  Y,-,126,-,-
sctid100054,scil36,_ , 4, -, -, -,  N,-,106,-,-
sctid100055,scil37,_ , 1, -, -, -,  N,-,281,-,-
sctid100056,scil38,_ , 4, -, -, -,  N,-,200,-,-
sctid100057,scil39,_ , 1, -, -, -,  N,-,168,-,-
sctid100058,scil40,S , 1, -, -, -,  N,-,353,-,-
sctid100060,scil41,S , 2, -, -, -,  N,-,290,-,-
sctid100063,scil42,S , 5, -, -, -,  N,-,107,-,-
sctid100064,scil43,_ , 1, -, -, -,  N,-,291,-,-
sctid100067,scil44,_ , 1, -, -, -,  N,-,290,-,-
sctid100071,scil45,S , 5, -, -, -,  N,-,104,-,-
sctid100072,scil46,_ , 1, -, -, -,  N,-,120,-,-
sctid100073,scil47,M , 4, -, -, -,  N,-,226,-,-
sctid100074,scil48,_ , 1, -, -, -,  N,-,290,-,-
sctid100076,scil49,_ , 3, -, -, -,  N,-,229,-,-
sctid100077,scil50,S , 1, -, -, -,  N,-,191,-,-
sctid100079,scil51,_ , 2, -, -, -,  N,-,158,-,-
sctid10007,scil52,_ , 2, -, -, -,  N,-,942,-,-
sctid100080,scil53,_ , 5, -, -, -,  N,-,917,-,-
sctid100083,scil54,_ , 2, -, -, -,  N,-,173,-,-
sctid100084,scil55,M , 3, -, -, -,  Y,-,126,-,-
sctid100085,scil56,_ , 2, -, -, -,  N,-,290,-,-
sctid100086,scil57,_ , 2, -, -, -,  N,-,116,-,-
sctid100088,scil58,_ , 4, -, -, -,  N,-,108,-,-
sctid100090,scil59,M , 4, -, -, -,  N,-,266,-,-
sctid100091,scil60,_ , 1, -, -, -,  N,-,183,-,-
sctid100092,scil61,_ , 2, -, -, -,  N,-,193,-,-
sctid100095,scil62,_ , 2, -, -, -,  N,-,252,-,-
sctid100097,scil63,_ , 5, -, -, -,  N,-,676,-,-
sctid100103,scil64,_ , 2, -, -, -,  N,-,188,-,-
sctid100104,scil65,_ , 4, -, -, -,  N,-,161,-,-
sctid100106,scil66,_ , 2, -, -, -,  N,-,290,-,-
sctid100107,scil67,_ , 2, -, -, -,  N,-,154,-,-
sctid100108,scil68,M , 3, -, -, -,  Y,-,119,-,-
sctid100109,scil69,_ , 2, -, -, -,  N,-,203,-,-
sctid100114,scil70,M , 2, -, -, -,  Y,-,147,-,-
sctid100115,scil71,_ , 2, -, -, -,  N,-,193,-,-
sctid100118,scil72,_ , 3, -, -, -,  N,-,126,-,-
sctid100119,scil73,M , 4, -, -, -,  N,-,143,-,-
sctid100120,scil74,_ , 3, -, -, -,  N,-,106,-,-
sctid100121,scil75,_ , 2, -, -, -,  N,-,227,-,-
sctid100123,scil76,M , 4, -, -, -,  N,-,173,-,-
sctid100124,scil77,_ , 1, -, -, -,  N,-,135,-,-
sctid100127,scil78,_ , 1, -, -, -,  N,-,110,-,-
sctid100128,scil79,M , 1, -, -, -,  Y,-,233,-,-
sctid100130,scil80,_ , 2, -, -, -,  N,-,290,-,-
sctid100133,scil81,_ , 5, -, -, -,  N,-,300,-,-
sctid100134,scil82,_ , 2, -, -, -,  N,-,168,-,-
sctid100135,scil83,_ , 4, -, -, -,  N,-,131,-,-
sctid100136,scil84,M , 4, -, -, -,  N,-,284,-,-
sctid100137,scil85,_ , 5, -, -, -,  N,-,148,-,-
sctid100138,scil86,S , 4, -, -, -,  N,-,104,-,-
sctid100139,scil87,_ , 1, -, -, -,  N,-,289,-,-
sctid100143,scil88,_ , 2, -, -, -,  N,-,122,-,-
sctid100144,scil89,M , 5, -, -, -,  N,-,307,-,-
sctid100145,scil90,_ , 1, -, -, -,  N,-,184,-,-
sctid100146,scil91,_ , 1, -, -, -,  N,-,180,-,-
sctid100148,scil92,_ , 1, -, -, -,  N,-,289,-,-
sctid100152,scil93,S , 3, -, -, -,  N,-,138,-,-
sctid100154,scil94,_ , 2, -, -, -,  N,-,212,-,-
sctid100155,scil95,M , 5, -, -, -,  N,-,235,-,-
sctid100156,scil96,S , 3, -, -, -,  N,-,290,-,-
sctid100159,scil97,M , 5, -, -, -,  N,-,222,-,-
