transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
gb|GBGI01000001.1||m.1 gb|GBGI01000001.1||g.1  ,kiwa1,_,5,-,-,-,N,-,207,-,-
gb|GBGI01000002.1||m.2 gb|GBGI01000002.1||g.2  ,kiwa2,_,5,-,-,-,N,-,127,-,-
gb|GBGI01000016.1||m.3 gb|GBGI01000016.1||g.3  ,kiwa3,_,1,-,-,-,N,-,117,-,-
gb|GBGI01000023.1||m.4 gb|GBGI01000023.1||g.4  ,kiwa4,_,4,-,-,-,N,-,156,-,-
gb|GBGI01000027.1||m.5 gb|GBGI01000027.1||g.5  ,kiwa5,_,2,-,-,-,N,-,104,-,-
gb|GBGI01000028.1||m.6 gb|GBGI01000028.1||g.6  ,kiwa6,S,2,-,-,-,N,-,103,-,-
gb|GBGI01000029.1||m.7 gb|GBGI01000029.1||g.7  ,kiwa7,S,2,-,-,-,N,-,181,-,-
gb|GBGI01000030.1||m.8 gb|GBGI01000030.1||g.8  ,kiwa8,_,3,-,-,-,N,-,124,-,-
gb|GBGI01000033.1||m.9 gb|GBGI01000033.1||g.9  ,kiwa9,_,3,-,-,-,N,-,102,-,-
gb|GBGI01000038.1||m.10 gb|GBGI01000038.1||g.10  ,kiwa10,_,5,-,-,-,N,-,119,-,-
gb|GBGI01000039.1||m.11 gb|GBGI01000039.1||g.11  ,kiwa11,_,1,-,-,-,N,-,103,-,-
gb|GBGI01000049.1||m.12 gb|GBGI01000049.1||g.12  ,kiwa12,_,2,-,-,-,N,-,168,-,-
gb|GBGI01000054.1||m.13 gb|GBGI01000054.1||g.13  ,kiwa13,M,4,-,-,-,N,-,143,-,-
gb|GBGI01000056.1||m.14 gb|GBGI01000056.1||g.14  ,kiwa14,_,2,-,-,-,N,-,106,-,-
gb|GBGI01000058.1||m.15 gb|GBGI01000058.1||g.15  ,kiwa15,_,2,-,-,-,N,-,139,-,-
gb|GBGI01000060.1||m.16 gb|GBGI01000060.1||g.16  ,kiwa16,_,3,-,-,-,N,-,141,-,-
gb|GBGI01000061.1||m.17 gb|GBGI01000061.1||g.17  ,kiwa17,_,1,-,-,-,N,-,141,-,-
gb|GBGI01000065.1||m.18 gb|GBGI01000065.1||g.18  ,kiwa18,_,2,-,-,-,N,-,101,-,-
gb|GBGI01000070.1||m.19 gb|GBGI01000070.1||g.19  ,kiwa19,_,4,-,-,-,N,-,105,-,-
gb|GBGI01000073.1||m.20 gb|GBGI01000073.1||g.20  ,kiwa20,_,1,-,-,-,N,-,110,-,-
gb|GBGI01000074.1||m.21 gb|GBGI01000074.1||g.21  ,kiwa21,_,1,-,-,-,N,-,172,-,-
gb|GBGI01000075.1||m.22 gb|GBGI01000075.1||g.22  ,kiwa22,_,2,-,-,-,N,-,106,-,-
gb|GBGI01000076.1||m.23 gb|GBGI01000076.1||g.23  ,kiwa23,_,2,-,-,-,N,-,106,-,-
gb|GBGI01000080.1||m.24 gb|GBGI01000080.1||g.24  ,kiwa24,_,4,-,-,-,N,-,115,-,-
gb|GBGI01000083.1||m.25 gb|GBGI01000083.1||g.25  ,kiwa25,_,1,-,-,-,N,-,122,-,-
gb|GBGI01000084.1||m.26 gb|GBGI01000084.1||g.26  ,kiwa26,_,1,-,-,-,N,-,138,-,-
gb|GBGI01000085.1||m.27 gb|GBGI01000085.1||g.27  ,kiwa27,_,1,-,-,-,N,-,174,-,-
gb|GBGI01000087.1||m.28 gb|GBGI01000087.1||g.28  ,kiwa28,S,2,-,-,-,N,-,143,-,-
gb|GBGI01000091.1||m.29 gb|GBGI01000091.1||g.29  ,kiwa29,_,2,-,-,-,N,-,103,-,-
gb|GBGI01000092.1||m.30 gb|GBGI01000092.1||g.30  ,kiwa30,_,2,-,-,-,N,-,147,-,-
gb|GBGI01000098.1||m.31 gb|GBGI01000098.1||g.31  ,kiwa31,M,4,hsap245,mmus415,-,Y,HADHB,460,Hadhb,-
gb|GBGI01000101.1||m.32 gb|GBGI01000101.1||g.32  ,kiwa32,S,1,-,-,-,N,-,167,-,-
gb|GBGI01000102.1||m.33 gb|GBGI01000102.1||g.33  ,kiwa33,S,1,-,-,-,N,-,208,-,-
gb|GBGI01000105.1||m.34 gb|GBGI01000105.1||g.34  ,kiwa34,_,2,hsap2012,mmus1455,scer798,Y,AFG3L2,773,Afg3l2,YTA12
gb|GBGI01000106.1||m.35 gb|GBGI01000106.1||g.35  ,kiwa35,_,2,-,-,-,N,-,477,-,-
gb|GBGI01000107.1||m.36 gb|GBGI01000107.1||g.36  ,kiwa36,_,5,hsap1031,mmus1265,scer967,Y,MRPL13,204,Mrpl13,MRPL23
gb|GBGI01000108.1||m.37 gb|GBGI01000108.1||g.37  ,kiwa37,_,2,-,-,-,N,-,740,-,-
gb|GBGI01000109.1||m.38 gb|GBGI01000109.1||g.38  ,kiwa38,_,1,-,-,-,N,-,445,-,-
gb|GBGI01000111.1||m.39 gb|GBGI01000111.1||g.39  ,kiwa39,M,3,-,-,-,Y,-,171,-,-
gb|GBGI01000113.1||m.43 gb|GBGI01000113.1||g.43  ,kiwa40,_,2,-,-,-,N,-,110,-,-
gb|GBGI01000114.1||m.44 gb|GBGI01000114.1||g.44  ,kiwa41,_,2,-,-,-,N,-,112,-,-
gb|GBGI01000115.1||m.45 gb|GBGI01000115.1||g.45  ,kiwa42,_,2,-,-,-,N,-,111,-,-
gb|GBGI01000116.1||m.46 gb|GBGI01000116.1||g.46  ,kiwa43,_,1,-,-,-,N,-,149,-,-
gb|GBGI01000117.1||m.47 gb|GBGI01000117.1||g.47  ,kiwa44,M,5,hsap434,mmus554,scer636,Y,CHCHD4,160,Chchd4,MIA40
gb|GBGI01000118.1||m.48 gb|GBGI01000118.1||g.48  ,kiwa45,_,3,-,-,-,N,-,206,-,-
gb|GBGI01000119.1||m.50 gb|GBGI01000119.1||g.50  ,kiwa46,_,4,-,-,-,N,-,117,-,-
gb|GBGI01000121.1||m.51 gb|GBGI01000121.1||g.51  ,kiwa47,_,2,-,-,-,N,-,1164,-,-
gb|GBGI01000123.1||m.52 gb|GBGI01000123.1||g.52  ,kiwa48,_,2,-,-,-,N,-,156,-,-
gb|GBGI01000123.1||m.53 gb|GBGI01000123.1||g.53  ,kiwa49,M,4,-,-,-,N,-,143,-,-
gb|GBGI01000124.1||m.55 gb|GBGI01000124.1||g.55  ,kiwa50,M,4,hsap570,-,-,Y,LETM1,143,-,-
gb|GBGI01000124.1||m.54 gb|GBGI01000124.1||g.54  ,kiwa51,_,2,-,mmus418,-,Y,-,247,Letm1,-
gb|GBGI01000125.1||m.56 gb|GBGI01000125.1||g.56  ,kiwa52,_,1,-,-,-,N,-,130,-,-
gb|GBGI01000127.1||m.57 gb|GBGI01000127.1||g.57  ,kiwa53,_,4,-,-,-,N,-,173,-,-
gb|GBGI01000128.1||m.58 gb|GBGI01000128.1||g.58  ,kiwa54,_,1,hsap2064,mmus924,-,Y,TIMM13,101,Timm13,-
gb|GBGI01000129.1||m.59 gb|GBGI01000129.1||g.59  ,kiwa55,_,3,-,-,-,N,-,181,-,-
gb|GBGI01000130.1||m.60 gb|GBGI01000130.1||g.60  ,kiwa56,_,2,-,-,-,N,-,358,-,-
gb|GBGI01000132.1||m.61 gb|GBGI01000132.1||g.61  ,kiwa57,M,3,hsap926,mmus407,scer699,Y,PMPCB,485,Pmpcb,MAS1
gb|GBGI01000133.1||m.62 gb|GBGI01000133.1||g.62  ,kiwa58,_,2,-,-,-,N,-,155,-,-
gb|GBGI01000134.1||m.63 gb|GBGI01000134.1||g.63  ,kiwa59,S,1,-,-,-,N,-,154,-,-
gb|GBGI01000135.1||m.64 gb|GBGI01000135.1||g.64  ,kiwa60,S,1,-,-,-,N,-,209,-,-
gb|GBGI01000136.1||m.65 gb|GBGI01000136.1||g.65  ,kiwa61,_,1,-,-,-,N,-,133,-,-
gb|GBGI01000137.1||m.66 gb|GBGI01000137.1||g.66  ,kiwa62,_,2,-,-,-,N,-,232,-,-
gb|GBGI01000138.1||m.67 gb|GBGI01000138.1||g.67  ,kiwa63,_,1,-,-,-,N,-,888,-,-
gb|GBGI01000139.1||m.68 gb|GBGI01000139.1||g.68  ,kiwa64,_,1,-,-,-,N,-,605,-,-
gb|GBGI01000140.1||m.69 gb|GBGI01000140.1||g.69  ,kiwa65,_,1,-,-,-,N,-,304,-,-
gb|GBGI01000141.1||m.70 gb|GBGI01000141.1||g.70  ,kiwa66,_,1,-,-,-,N,-,187,-,-
gb|GBGI01000141.1||m.71 gb|GBGI01000141.1||g.71  ,kiwa67,_,1,-,-,-,N,-,113,-,-
gb|GBGI01000143.1||m.72 gb|GBGI01000143.1||g.72  ,kiwa68,S,5,-,-,-,N,-,473,-,-
gb|GBGI01000144.1||m.73 gb|GBGI01000144.1||g.73  ,kiwa69,M,5,-,-,-,N,-,873,-,-
gb|GBGI01000145.1||m.75 gb|GBGI01000145.1||g.75  ,kiwa70,_,2,-,-,-,N,-,208,-,-
gb|GBGI01000147.1||m.76 gb|GBGI01000147.1||g.76  ,kiwa71,_,1,-,-,-,N,-,156,-,-
gb|GBGI01000148.1||m.77 gb|GBGI01000148.1||g.77  ,kiwa72,_,3,hsap1828,mmus687,-,Y,DUS2,446,Dus2,-
