transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
comp1000350_c0_seq1|m.22503 comp1000350_c0_seq1|g.22503  ,mlei1,_,3,-,-,-,N,-,108,-,-
comp10003_c0_seq1|m.3590 comp10003_c0_seq1|g.3590  ,mlei2,S,4,-,-,-,N,-,434,-,-
comp100075_c0_seq1|m.17706 comp100075_c0_seq1|g.17706  ,mlei3,_,2,-,-,-,N,-,631,-,-
comp100079_c0_seq1|m.17707 comp100079_c0_seq1|g.17707  ,mlei4,_,3,-,-,-,N,-,284,-,-
comp1001202_c0_seq1|m.22504 comp1001202_c0_seq1|g.22504  ,mlei5,M,4,-,-,-,N,-,182,-,-
comp10014_c0_seq1|m.3591 comp10014_c0_seq1|g.3591  ,mlei6,_,1,-,-,-,N,-,243,-,-
comp1001881_c0_seq1|m.22505 comp1001881_c0_seq1|g.22505  ,mlei7,_,1,-,-,-,N,-,144,-,-
comp100220_c0_seq1|m.17708 comp100220_c0_seq1|g.17708  ,mlei8,_,3,-,-,-,N,-,613,-,-
comp10022_c0_seq1|m.3592 comp10022_c0_seq1|g.3592  ,mlei9,S,1,-,-,-,N,-,206,-,-
comp10024_c0_seq1|m.3594 comp10024_c0_seq1|g.3594  ,mlei10,_,5,-,-,-,N,-,100,-,-
comp10027_c0_seq1|m.3595 comp10027_c0_seq1|g.3595  ,mlei11,_,2,-,-,-,N,-,143,-,-
comp10030_c0_seq1|m.3596 comp10030_c0_seq1|g.3596  ,mlei12,_,2,-,-,-,N,-,320,-,-
comp10031_c0_seq1|m.3597 comp10031_c0_seq1|g.3597  ,mlei13,_,2,-,-,-,N,-,625,-,-
comp10032_c0_seq1|m.3599 comp10032_c0_seq1|g.3599  ,mlei14,_,1,-,-,-,N,-,135,-,-
comp10035_c0_seq1|m.3600 comp10035_c0_seq1|g.3600  ,mlei15,_,1,hsap2149,mmus204,scer12,Y,ACSS1,600,Acss1,ACS1
comp10036_c0_seq1|m.3602 comp10036_c0_seq1|g.3602  ,mlei16,S,2,-,-,-,N,-,187,-,-
comp100379_c0_seq1|m.17711 comp100379_c0_seq1|g.17711  ,mlei17,_,1,-,-,-,N,-,139,-,-
comp1003821_c0_seq1|m.22506 comp1003821_c0_seq1|g.22506  ,mlei18,_,2,-,-,-,N,-,191,-,-
comp10038_c0_seq1|m.3603 comp10038_c0_seq1|g.3603  ,mlei19,M,5,-,-,-,N,-,137,-,-
comp1004100_c0_seq1|m.22507 comp1004100_c0_seq1|g.22507  ,mlei20,_,2,-,-,-,N,-,158,-,-
comp100434_c0_seq1|m.17712 comp100434_c0_seq1|g.17712  ,mlei21,_,2,-,mmus676,-,Y,-,306,Sirt3,-
comp10043_c0_seq1|m.3604 comp10043_c0_seq1|g.3604  ,mlei22,S,5,-,-,-,N,-,123,-,-
comp1004469_c0_seq1|m.22508 comp1004469_c0_seq1|g.22508  ,mlei23,_,1,-,-,-,N,-,137,-,-
comp1004474_c0_seq1|m.22509 comp1004474_c0_seq1|g.22509  ,mlei24,M,4,-,-,-,N,-,165,-,-
comp10045_c0_seq1|m.3605 comp10045_c0_seq1|g.3605  ,mlei25,_,2,-,-,-,N,-,385,-,-
