transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10|m.11,ifas1,M , 4, -, -, scer288,  Y,-,133,-,RPS24A
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_100|m.150,ifas2,_ , 1, -, -, -,  N,-,222,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_1000|m.1271,ifas3,_ , 2, -, -, scer1091,  Y,-,420,-,SYT1
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_1000|m.1270,ifas4,M , 5, -, -, -,  N,-,483,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_1000|m.1269,ifas5,S , 2, -, -, -,  N,-,541,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_1000|m.1272,ifas6,_ , 1, -, -, -,  N,-,407,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10000|m.9705,ifas7,_ , 2, -, -, -,  N,-,277,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10000|m.9706,ifas8,_ , 5, -, -, -,  N,-,150,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10000|m.9704,ifas9,_ , 2, -, -, -,  N,-,376,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10002|m.9707,ifas10,M , 2, -, -, -,  Y,-,414,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10003|m.9708,ifas11,_ , 2, -, -, -,  N,-,223,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10006|m.9709,ifas12,_ , 2, -, -, -,  N,-,364,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10008|m.9710,ifas13,M , 4, -, -, -,  N,-,112,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_1001|m.1273,ifas14,_ , 1, -, -, -,  N,-,314,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10010|m.9711,ifas15,_ , 1, -, -, -,  N,-,183,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10013|m.9712,ifas16,_ , 4, -, -, -,  N,-,275,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10014|m.9714,ifas17,_ , 2, -, -, -,  N,-,221,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10017|m.9715,ifas18,_ , 3, -, -, -,  N,-,407,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10019|m.9717,ifas19,_ , 2, -, -, -,  N,-,261,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_1002|m.1274,ifas20,_ , 2, -, -, -,  N,-,106,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10020|m.9718,ifas21,M , 5, -, -, -,  N,-,146,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10022|m.9719,ifas22,_ , 3, -, -, -,  N,-,307,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10024|m.9720,ifas23,_ , 2, -, -, -,  N,-,349,-,-
SpoCenti1_CGATGT_L001_R1_001_(paired)_trimmed_(paired)_contig_10027|m.9722,ifas24,_ , 3, -, -, -,  N,-,129,-,-
