transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
gi|671187083|gb|GBGH01024516.1||m.36774 gi|671187083|gb|GBGH01024516.1||g.36774  ,phyd1,_,3,-,-,-,N,-,104,-,-
gi|671187084|gb|GBGH01024515.1||m.36773 gi|671187084|gb|GBGH01024515.1||g.36773  ,phyd2,_,5,-,-,-,N,-,121,-,-
gi|671187085|gb|GBGH01024514.1||m.36772 gi|671187085|gb|GBGH01024514.1||g.36772  ,phyd3,_,2,-,-,-,N,-,104,-,-
gi|671187086|gb|GBGH01024513.1||m.36771 gi|671187086|gb|GBGH01024513.1||g.36771  ,phyd4,_,3,-,-,-,N,-,148,-,-
gi|671187087|gb|GBGH01024512.1||m.36770 gi|671187087|gb|GBGH01024512.1||g.36770  ,phyd5,_,2,-,-,-,N,-,112,-,-
gi|671187088|gb|GBGH01024511.1||m.36769 gi|671187088|gb|GBGH01024511.1||g.36769  ,phyd6,S,1,-,-,-,N,-,115,-,-
gi|671187089|gb|GBGH01024510.1||m.36768 gi|671187089|gb|GBGH01024510.1||g.36768  ,phyd7,_,1,-,-,-,N,-,105,-,-
gi|671187090|gb|GBGH01024509.1||m.36767 gi|671187090|gb|GBGH01024509.1||g.36767  ,phyd8,_,4,-,-,-,N,-,100,-,-
gi|671187091|gb|GBGH01024508.1||m.36766 gi|671187091|gb|GBGH01024508.1||g.36766  ,phyd9,_,3,-,-,-,N,-,107,-,-
gi|671187092|gb|GBGH01024507.1||m.36765 gi|671187092|gb|GBGH01024507.1||g.36765  ,phyd10,_,1,-,-,-,N,-,113,-,-
gi|671187093|gb|GBGH01024506.1||m.36764 gi|671187093|gb|GBGH01024506.1||g.36764  ,phyd11,M,5,-,-,-,N,-,108,-,-
gi|671187094|gb|GBGH01024505.1||m.36762 gi|671187094|gb|GBGH01024505.1||g.36762  ,phyd12,_,3,-,-,-,N,-,102,-,-
gi|671187095|gb|GBGH01024504.1||m.36760 gi|671187095|gb|GBGH01024504.1||g.36760  ,phyd13,_,1,-,-,-,N,-,113,-,-
gi|671187096|gb|GBGH01024503.1||m.36759 gi|671187096|gb|GBGH01024503.1||g.36759  ,phyd14,_,5,-,-,-,N,-,134,-,-
gi|671187098|gb|GBGH01024501.1||m.36758 gi|671187098|gb|GBGH01024501.1||g.36758  ,phyd15,_,2,-,-,-,N,-,103,-,-
gi|671187100|gb|GBGH01024499.1||m.36756 gi|671187100|gb|GBGH01024499.1||g.36756  ,phyd16,_,4,-,-,-,N,-,111,-,-
gi|671187102|gb|GBGH01024497.1||m.36755 gi|671187102|gb|GBGH01024497.1||g.36755  ,phyd17,M,2,-,-,-,Y,-,120,-,-
gi|671187105|gb|GBGH01024494.1||m.36754 gi|671187105|gb|GBGH01024494.1||g.36754  ,phyd18,_,5,-,-,-,N,-,165,-,-
gi|671187106|gb|GBGH01024493.1||m.36752 gi|671187106|gb|GBGH01024493.1||g.36752  ,phyd19,_,2,-,-,-,N,-,107,-,-
gi|671187107|gb|GBGH01024492.1||m.36751 gi|671187107|gb|GBGH01024492.1||g.36751  ,phyd20,_,1,-,-,-,N,-,117,-,-
gi|671187108|gb|GBGH01024491.1||m.36750 gi|671187108|gb|GBGH01024491.1||g.36750  ,phyd21,_,2,-,-,-,N,-,164,-,-
gi|671187109|gb|GBGH01024490.1||m.36749 gi|671187109|gb|GBGH01024490.1||g.36749  ,phyd22,S,2,-,-,-,N,-,100,-,-
