transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
augustus_masked-XT_scaffold100060-processed-gene-0.1-mRNA-1|m.18794,xtes1,_ , 1, -, -, -,  N,-,115,-,-
augustus_masked-XT_scaffold100087-processed-gene-0.0-mRNA-1|m.21481,xtes2,_ , 4, -, -, -,  N,-,281,-,-
augustus_masked-XT_scaffold1001-processed-gene-0.5-mRNA-1|m.26419,xtes3,_ , 3, -, -, scer762,  Y,-,738,-,CAT2
augustus_masked-XT_scaffold100171-processed-gene-0.1-mRNA-1|m.28418,xtes4,_ , 2, -, -, -,  N,-,400,-,-
augustus_masked-XT_scaffold100171-processed-gene-0.1-mRNA-1|m.28419,xtes5,_ , 2, -, -, -,  N,-,342,-,-
augustus_masked-XT_scaffold1002-processed-gene-0.7-mRNA-1|m.28626,xtes6,M , 5, -, -, -,  N,-,409,-,-
augustus_masked-XT_scaffold100210-processed-gene-0.0-mRNA-1|m.3967,xtes7,_ , 2, -, -, -,  N,-,268,-,-
augustus_masked-XT_scaffold100265-processed-gene-0.0-mRNA-1|m.29166,xtes8,_ , 2, -, -, -,  N,-,387,-,-
augustus_masked-XT_scaffold10027-processed-gene-0.0-mRNA-1|m.22272,xtes9,_ , 2, -, -, -,  N,-,262,-,-
augustus_masked-XT_scaffold100273-processed-gene-0.3-mRNA-1|m.4162,xtes10,_ , 4, -, -, -,  N,-,578,-,-
augustus_masked-XT_scaffold10029-processed-gene-0.0-mRNA-1|m.19287,xtes11,M , 5, -, -, -,  N,-,636,-,-
augustus_masked-XT_scaffold100305-processed-gene-0.0-mRNA-1|m.23171,xtes12,_ , 5, -, -, -,  N,-,269,-,-
augustus_masked-XT_scaffold100305-processed-gene-0.0-mRNA-1|m.23170,xtes13,_ , 3, -, -, -,  N,-,403,-,-
augustus_masked-XT_scaffold10035-processed-gene-0.1-mRNA-1|m.27895,xtes14,_ , 4, -, -, -,  N,-,596,-,-
augustus_masked-XT_scaffold100410-processed-gene-0.3-mRNA-1|m.27040,xtes15,M , 4, -, -, -,  N,-,131,-,-
augustus_masked-XT_scaffold100501-processed-gene-0.0-mRNA-1|m.22215,xtes16,_ , 5, -, -, -,  N,-,420,-,-
augustus_masked-XT_scaffold100509-processed-gene-0.0-mRNA-1|m.6384,xtes17,_ , 1, -, -, -,  N,-,315,-,-
augustus_masked-XT_scaffold100530-processed-gene-0.0-mRNA-1|m.29910,xtes18,_ , 5, -, -, -,  N,-,253,-,-
