Transcript,Protein,TargetP,RC,HSAP_ortho,MMUS_ortho,SCER_ortho,MitoProt,HSAP_Gene,Seqlength,MMUS_Gene
comp10040_c0_seq1,emue1,_ , 2, -, -, -,  N,-,167,-
comp101550_c0_seq1,emue2,_ , 1, -, -, -,  N,-,104,-
comp10227_c0_seq1,emue3,_ , 3, -, -, -,  N,-,111,-
comp1037_c0_seq1,emue4,_ , 1, -, -, -,  N,-,133,-
comp104707_c0_seq1,emue5,_ , 1, -, -, -,  N,-,119,-
comp10475_c0_seq1,emue6,_ , 2, -, -, -,  N,-,117,-
comp1054_c0_seq1,emue7,S , 1, -, -, -,  N,-,121,-
comp1054_c0_seq1,emue8,_ , 3, -, -, -,  N,-,148,-
comp105726_c0_seq1,emue9,S , 3, -, -, -,  N,-,158,-
comp106168_c0_seq1,emue10,_ , 2, -, -, -,  N,-,137,-
comp106196_c0_seq1,emue11,_ , 2, -, -, -,  N,-,141,-
comp10661_c0_seq1,emue12,_ , 2, -, -, -,  N,-,148,-
comp108267_c0_seq1,emue13,_ , 1, -, -, -,  N,-,202,-
comp108408_c0_seq1,emue14,_ , 2, -, -, -,  N,-,120,-
comp1085_c0_seq1,emue15,M , 4, -, -, -,  N,-,104,-
comp10876_c0_seq1,emue16,_ , 2, -, -, -,  N,-,110,-
comp109044_c0_seq1,emue17,_ , 3, -, -, -,  N,-,198,-
comp1090_c0_seq1,emue18,_ , 2, -, -, -,  N,-,121,-
comp109450_c0_seq1,emue19,_ , 2, -, -, -,  N,-,109,-
comp109458_c0_seq1,emue20,_ , 1, -, -, -,  N,-,128,-
comp10971_c0_seq1,emue21,S , 4, -, -, -,  N,-,111,-
comp110043_c0_seq1,emue22,M , 4, -, -, -,  N,-,565,-
comp11061_c0_seq1,emue23,_ , 2, -, -, -,  N,-,116,-
comp110677_c0_seq1,emue24,_ , 2, -, -, -,  N,-,152,-
comp110759_c0_seq1,emue25,_ , 3, -, -, -,  N,-,369,-
comp110932_c0_seq1,emue26,_ , 2, -, -, -,  N,-,297,-
comp11098_c0_seq1,emue27,_ , 1, -, -, -,  N,-,125,-
comp111153_c0_seq1,emue28,_ , 2, -, -, -,  N,-,256,-
comp11164_c0_seq1,emue29,_ , 2, -, -, -,  N,-,100,-
comp111917_c0_seq1,emue30,_ , 3, -, -, -,  N,-,115,-
comp112058_c0_seq1,emue31,S , 1, -, -, -,  N,-,113,-
comp11211_c0_seq1,emue32,_ , 3, -, -, -,  N,-,140,-
comp11234_c0_seq1,emue33,_ , 1, -, -, -,  N,-,120,-
comp112491_c0_seq1,emue34,_ , 3, -, -, -,  N,-,240,-
