transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
jgi|Nemve1|100014|e_gw.55.36.1|m.7313 jgi|Nemve1|100014|e_gw.55.36.1|g.7313  ,nvec1,_,3,-,-,-,N,-,238,-,-
jgi|Nemve1|100015|e_gw.55.200.1|m.7261 jgi|Nemve1|100015|e_gw.55.200.1|g.7261  ,nvec2,_,4,-,-,-,N,-,162,-,-
jgi|Nemve1|100017|e_gw.55.28.1|m.7278 jgi|Nemve1|100017|e_gw.55.28.1|g.7278  ,nvec3,_,3,-,-,-,N,-,329,-,-
jgi|Nemve1|100019|e_gw.55.229.1|m.7248 jgi|Nemve1|100019|e_gw.55.229.1|g.7248  ,nvec4,_,3,-,-,-,N,-,137,-,-
jgi|Nemve1|100030|e_gw.55.76.1|m.7368 jgi|Nemve1|100030|e_gw.55.76.1|g.7368  ,nvec5,_,1,-,-,-,N,-,160,-,-
jgi|Nemve1|100049|e_gw.55.63.1|m.7323 jgi|Nemve1|100049|e_gw.55.63.1|g.7323  ,nvec6,_,1,-,-,-,N,-,232,-,-
jgi|Nemve1|100066|e_gw.55.95.1|m.7327 jgi|Nemve1|100066|e_gw.55.95.1|g.7327  ,nvec7,_,4,-,-,-,N,-,457,-,-
jgi|Nemve1|100075|e_gw.55.26.1|m.7239 jgi|Nemve1|100075|e_gw.55.26.1|g.7239  ,nvec8,_,2,-,-,-,N,-,247,-,-
jgi|Nemve1|100082|e_gw.55.165.1|m.7273 jgi|Nemve1|100082|e_gw.55.165.1|g.7273  ,nvec9,M,2,-,-,-,Y,-,141,-,-
jgi|Nemve1|100096|e_gw.55.222.1|m.7378 jgi|Nemve1|100096|e_gw.55.222.1|g.7378  ,nvec10,_,1,hsap835,mmus897,scer354,Y,MTRF1L,274,Mtrf1l,MRF1
jgi|Nemve1|100111|e_gw.55.254.1|m.7412 jgi|Nemve1|100111|e_gw.55.254.1|g.7412  ,nvec11,M,3,-,-,-,Y,-,113,-,-
jgi|Nemve1|100119|e_gw.55.184.1|m.7300 jgi|Nemve1|100119|e_gw.55.184.1|g.7300  ,nvec12,_,5,-,-,-,N,-,530,-,-
jgi|Nemve1|10011|gw.156.1.1|m.27649 jgi|Nemve1|10011|gw.156.1.1|g.27649  ,nvec13,_,2,-,-,-,N,-,1482,-,-
jgi|Nemve1|100129|e_gw.55.77.1|m.7415 jgi|Nemve1|100129|e_gw.55.77.1|g.7415  ,nvec14,_,2,hsap2137,mmus618,-,Y,BAX,107,Bax,-
jgi|Nemve1|100135|e_gw.55.9.1|m.7276 jgi|Nemve1|100135|e_gw.55.9.1|g.7276  ,nvec15,_,2,-,-,-,N,-,609,-,-
jgi|Nemve1|100139|e_gw.55.171.1|m.7396 jgi|Nemve1|100139|e_gw.55.171.1|g.7396  ,nvec16,_,5,-,-,-,N,-,140,-,-
jgi|Nemve1|100141|e_gw.55.163.1|m.7272 jgi|Nemve1|100141|e_gw.55.163.1|g.7272  ,nvec17,_,2,-,-,-,N,-,99,-,-
jgi|Nemve1|100150|e_gw.55.56.1|m.7373 jgi|Nemve1|100150|e_gw.55.56.1|g.7373  ,nvec18,_,5,-,-,-,N,-,114,-,-
jgi|Nemve1|100150|e_gw.55.56.1|m.7372 jgi|Nemve1|100150|e_gw.55.56.1|g.7372  ,nvec19,_,4,-,-,-,N,-,120,-,-
jgi|Nemve1|100165|e_gw.56.22.1|m.21752 jgi|Nemve1|100165|e_gw.56.22.1|g.21752  ,nvec20,S,2,-,-,-,N,-,447,-,-
jgi|Nemve1|100173|e_gw.56.127.1|m.21798 jgi|Nemve1|100173|e_gw.56.127.1|g.21798  ,nvec21,_,3,-,-,-,N,-,157,-,-
jgi|Nemve1|100191|e_gw.56.94.1|m.21776 jgi|Nemve1|100191|e_gw.56.94.1|g.21776  ,nvec22,_,1,-,-,-,N,-,314,-,-
jgi|Nemve1|100198|e_gw.56.170.1|m.21754 jgi|Nemve1|100198|e_gw.56.170.1|g.21754  ,nvec23,_,2,-,-,-,N,-,330,-,-
jgi|Nemve1|1001|gw.12.1.1|m.10945 jgi|Nemve1|1001|gw.12.1.1|g.10945  ,nvec24,M,3,-,-,-,Y,-,369,-,-
jgi|Nemve1|100228|e_gw.56.173.1|m.21700 jgi|Nemve1|100228|e_gw.56.173.1|g.21700  ,nvec25,_,1,-,-,-,N,-,229,-,-
