transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
comp0_c0_seq1|m.1,avas1,S , 1, -, -, -,  N,-,101,-,-
comp10000_c0_seq1|m.8160,avas2,_ , 3, -, -, -,  N,-,401,-,-
comp100011_c0_seq1|m.61204,avas3,M , 3, -, -, -,  Y,-,144,-,-
comp10001_c0_seq1|m.8161,avas4,_ , 2, -, -, -,  N,-,208,-,-
comp10001_c0_seq2|m.8162,avas5,_ , 2, -, -, -,  N,-,204,-,-
comp10002_c0_seq1|m.8163,avas6,_ , 1, -, -, -,  N,-,412,-,-
comp10003_c0_seq1|m.8165,avas7,S , 1, -, -, -,  N,-,366,-,-
comp10003_c0_seq2|m.8166,avas8,S , 1, -, -, -,  N,-,366,-,-
comp10004_c0_seq1|m.8167,avas9,_ , 3, -, -, -,  N,-,401,-,-
comp10005_c0_seq1|m.8168,avas10,_ , 5, -, -, -,  N,-,587,-,-
comp10006_c0_seq1|m.8169,avas11,_ , 4, -, -, -,  N,-,211,-,-
comp10007_c0_seq1|m.8170,avas12,_ , 3, -, -, -,  N,-,475,-,-
comp10009_c0_seq1|m.8171,avas13,_ , 3, -, -, -,  N,-,782,-,-
comp10011_c0_seq1|m.8172,avas14,_ , 1, -, -, -,  N,-,275,-,-
comp10011_c0_seq2|m.8174,avas15,_ , 1, -, -, -,  N,-,275,-,-
comp10011_c0_seq3|m.8176,avas16,_ , 1, -, -, -,  N,-,275,-,-
comp10012_c0_seq1|m.8178,avas17,_ , 4, -, -, -,  N,-,502,-,-
comp10013_c0_seq1|m.8179,avas18,_ , 4, -, -, -,  N,-,347,-,-
comp10014_c0_seq1|m.8181,avas19,_ , 2, -, -, -,  N,-,369,-,-
comp10016_c0_seq1|m.8182,avas20,_ , 5, -, -, -,  N,-,184,-,-
comp10017_c0_seq1|m.8183,avas21,_ , 2, -, -, -,  N,-,117,-,-
comp10017_c0_seq2|m.8184,avas22,_ , 2, -, -, -,  N,-,117,-,-
