transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
comp10001_c0_seq1,ocar1,_ , 4, -, -, -,  N,-,107,-,-
comp10003_c0_seq1,ocar2,_ , 2, -, -, -,  N,-,320,-,-
comp10005_c0_seq1,ocar3,_ , 3, -, -, -,  N,-,455,-,-
comp10006_c0_seq1,ocar4,_ , 3, -, -, -,  N,-,479,-,-
comp10013_c0_seq1,ocar5,_ , 2, -, -, -,  N,-,764,-,-
comp10015_c0_seq1,ocar6,_ , 2, -, -, -,  N,-,328,-,-
comp10019_c0_seq2,ocar7,M , 5, -, -, -,  N,-,329,-,-
comp10021_c0_seq1,ocar8,_ , 2, -, -, -,  N,-,103,-,-
comp10022_c0_seq1,ocar9,_ , 4, -, -, -,  N,-,194,-,-
comp10022_c0_seq2,ocar10,_ , 4, -, -, -,  N,-,443,-,-
comp10025_c0_seq1,ocar11,_ , 4, -, -, -,  N,-,410,-,-
comp10030_c0_seq1,ocar12,_ , 3, -, -, -,  N,-,416,-,-
comp10031_c0_seq1,ocar13,S , 1, -, -, -,  N,-,737,-,-
comp10045_c0_seq2,ocar14,_ , 1, -, -, -,  N,-,262,-,-
comp10046_c0_seq1,ocar15,S , 3, -, -, -,  N,-,250,-,-
comp10055_c0_seq1,ocar16,_ , 3, -, -, -,  N,-,486,-,-
comp10055_c0_seq1,ocar17,_ , 1, -, -, -,  N,-,344,-,-
comp10055_c0_seq2,ocar18,_ , 3, -, -, -,  N,-,430,-,-
comp10055_c0_seq2,ocar19,_ , 1, -, -, -,  N,-,344,-,-
comp10066_c0_seq1,ocar20,_ , 3, -, -, -,  N,-,279,-,-
comp10069_c0_seq1,ocar21,_ , 5, -, -, -,  N,-,792,-,-
comp10071_c0_seq1,ocar22,S , 2, -, -, -,  N,-,875,-,-
comp10079_c0_seq1,ocar23,_ , 3, -, -, -,  N,-,433,-,-
comp10081_c0_seq1,ocar24,_ , 1, -, -, -,  N,-,697,-,-
comp10085_c0_seq1,ocar25,_ , 3, -, -, -,  N,-,392,-,-
comp10091_c0_seq2,ocar26,S , 1, -, -, -,  N,-,362,-,-
comp10106_c0_seq2,ocar27,_ , 2, -, -, -,  N,-,1421,-,-
comp10116_c0_seq1,ocar28,S , 1, -, -, -,  N,-,352,-,-
comp1012_c0_seq2,ocar29,_ , 2, -, -, -,  N,-,189,-,-
comp10138_c0_seq1,ocar30,_ , 2, -, -, -,  N,-,330,-,-
comp10140_c0_seq1,ocar31,M , 3, -, -, -,  Y,-,207,-,-
comp10143_c0_seq1,ocar32,_ , 2, -, -, -,  N,-,240,-,-
comp10148_c0_seq1,ocar33,_ , 2, -, -, -,  N,-,317,-,-
comp10150_c0_seq1,ocar34,M , 5, -, -, -,  N,-,245,-,-
comp10157_c0_seq1,ocar35,S , 1, -, -, -,  N,-,289,-,-
